gnd_id,tower_id,intersection_area
"1212625","35944",1886166.49957275
"1239245","30410",15286.3251647949
"1239245","29909",1238547.96456909
"1212705","36690",313001.073150635
"1212705","36688",181441.744110107
"1212705","35686",1382295.96813965
"1239190","30403",302327.421875
"1239190","30401",125003.126617432
"1239190","30152",818825.053344727
"1212675","36688",818303.38067627
"1212675","35686",337808.441162109
"1212675","35683",191471.777008057
"1212605","36441",118379.174713135
"1212605","35944",910.674835205078
"1212605","35941",1462947.04425049
"1239175","30154",341184.722076416
"1239175","29903",1145067.62985229
"1212715","35686",229260.007446289
"1239180","29650",110812.573699951
"1239180","30154",517416.941131592
"1239180","29903",789405.21496582
"1212725","35193",1472691.962677
"1212725","36448",768137.821624756
"1212725","35944",50981.9264831543
"1239185","30154",115967.826538086
"1239185","30152",430425.41796875
"1239240","30410",501.203582763672
"1239240","30158",347631.24420166
"1239240","29909",617727.798614502
"1215450","35173",1234184.14129639
"1215450","35421",30379.6526184082
"1215445","35173",152.030090332031
"1215445","35421",526460.385101318
"1215350","35178",224948.928161621
"1215350","34925",464037.562042236
"1215350","34924",508621.01184082
"1215565","35421",653457.905181885
"1215565","35921",16.2377319335938
"1215565","34667",188.105865478516
"1224465","32167",648319.448577881
"1215380","35178",489389.00970459
"1215380","34676",360734.434997559
"1215380","34679",285475.269714355
"1224500","31666",622245.700592041
"1224500","32169",454168.259521484
"1224500","32167",164038.23828125
"1224455","32415",48066.3381652832
"1224455","32161",19474.0343933105
"1224455","32162",107242.440979004
"1224455","31912",274496.577392578
"1215375","35178",455094.066802979
"1215375","35183",3176.96212768555
"1215375","35683",432656.786743164
"1215375","34679",1095193.97515869
"1215345","35178",694469.382263184
"1215345","34925",8414.55963134766
"1215345","34924",618729.447814941
"1215345","35931",2170.7516784668
"1215345","35929",163412.806121826
"1215340","35173",4797.96630859375
"1215340","34924",294711.114807129
"1215340","35675",467821.648101807
"1215360","35178",668979.683044434
"1215430","35173",116946.578765869
"1215430","35421",386155.535522461
"1227530","34437",253224.086730957
"1227530","33931",431151.556732178
"1227530","33935",11008.6764221191
"1227570","34440",360167.537384033
"1227570","34190",806443.009246826
"1215415","35173",261290.185913086
"1215415","34924",555527.936004639
"1215415","35675",130264.60055542
"1215415","34672",15646.6336364746
"1227485","34437",967141.165222168
"1227485","33935",9151.16677856445
"1209470","37943",1298924.02331543
"1227540","34437",638394.855407715
"1227435","34695",1258318.10525513
"1227295","34427",887388.114074707
"1227295","34676",32814.3877258301
"1227490","34437",48219.44140625
"1227490","35187",677.990081787109
"1227490","34934",24350.8925476074
"1227490","33931",127862.192749023
"1227550","34440",133653.956329346
"1227550","34437",424655.856109619
"1215435","35173",5119.78219604492
"1215435","35421",602842.023040771
"1227690","33675",714262.555267334
